"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Infected","Tp.Cage","Tp.ABX","Tp.Infect","ABX.Infect","Tp.ABX.Infect","NaturalMicro","InfectionStage","InfectStage2","InfectStageDepo","InfectStagePreUM","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"8506","8632dac767a978f390c0739543c2a1a6","LK16S004-277",0.954653937947494,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_277_S282_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_277_S282_R2_001.fastq.gz","11-10-M6-4","LK16S004_277","Baseline","E3","11/10/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp9","Timepoint 9","9","14","None","Untouched","Tp9_Cage6","Tp9_None","Tp9_Untouched","None_Untouched","Tp9_None_Untouched","No","12 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"12931","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-013",0.952254052853653,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R2_001.fastq.gz","07-28-M6-2","LK16S004_013","Baseline","E3","7/28/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Untouched","Tp1_Cage6","Tp1_None","Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"13025","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-154",0.947976878612717,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_154_S158_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_154_S158_R2_001.fastq.gz","09-16-M6-4","LK16S004_154","Baseline","E3","9/16/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"8499","8632dac767a978f390c0739543c2a1a6","LK16S004-059",0.920621818682075,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_059_S59_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_059_S59_R2_001.fastq.gz","08-12-M08-1","LK16S004_059","Baseline","E3","8/12/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"8461","8632dac767a978f390c0739543c2a1a6","LK16S004-058",0.918367346938776,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_058_S58_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_058_S58_R2_001.fastq.gz","08-12-M7-3","LK16S004_058","Baseline","E3","8/12/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp2","Timepoint 2","2","2","None","Infected","Tp2_Cage7","Tp2_None","Tp2_Infected","None_Infected","Tp2_None_Infected","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2","Low","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"13024","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-020",0.893825960136121,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R2_001.fastq.gz","07-28-M8-2","LK16S004_020","Baseline","E3","7/28/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Mock","Tp1_Cage8","Tp1_None","Tp1_Mock","None_Mock","Tp1_None_Mock","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"4947","512699b99a04e60a592db5b38aaa91d6","LK16S004-072",0.853274458690217,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_072_S72_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_072_S72_R2_001.fastq.gz","08-12-M11-3","LK16S004_072","Baseline","E3","8/12/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp2","Timepoint 2","2","2","None","Infected","Tp2_Cage11","Tp2_None","Tp2_Infected","None_Infected","Tp2_None_Infected","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2","Low","Persistent","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"4925","512699b99a04e60a592db5b38aaa91d6","LK16S004-282",0.85302617455206,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_282_S287_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_282_S287_R2_001.fastq.gz","11-10-M8-2","LK16S004_282","Baseline","E3","11/10/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"8520","8632dac767a978f390c0739543c2a1a6","LK16S004-062",0.812100506942914,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_062_S62_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_062_S62_R2_001.fastq.gz","08-12-M08-4","LK16S004_062","Baseline","E3","8/12/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"14613","f36c161e4341ca7c0fd5d7615f736706","LK16S004-159",0.735144312393888,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_159_S163_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_159_S163_R2_001.fastq.gz","09-16-M8-2","LK16S004_159","Baseline","E3","9/16/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"8462","8632dac767a978f390c0739543c2a1a6","LK16S004-183",0.731707317073171,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_183_S187_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_183_S187_R2_001.fastq.gz","09-29-M6-2","LK16S004_183","Baseline","E3","9/29/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp6","Timepoint 6","6","8","None","Untouched","Tp6_Cage6","Tp6_None","Tp6_Untouched","None_Untouched","Tp6_None_Untouched","No","6 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"14697","f36c161e4341ca7c0fd5d7615f736706","LK16S004-070",0.727272727272727,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_070_S70_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_070_S70_R2_001.fastq.gz","08-12-M11-1","LK16S004_070","Baseline","E3","8/12/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp2","Timepoint 2","2","2","None","Infected","Tp2_Cage11","Tp2_None","Tp2_Infected","None_Infected","Tp2_None_Infected","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3","High ","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"14640","f36c161e4341ca7c0fd5d7615f736706","LK16S004-091",0.720338983050847,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R2_001.fastq.gz","08-19-M08-1","LK16S004_091","Baseline","E3","8/19/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"14688","f36c161e4341ca7c0fd5d7615f736706","LK16S004-052",0.719587628865979,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_052_S52_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_052_S52_R2_001.fastq.gz","08-12-M6-1","LK16S004_052","Baseline","E3","8/12/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Untouched","Tp2_Cage6","Tp2_None","Tp2_Untouched","None_Untouched","Tp2_None_Untouched","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2266","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-019",0.719192388025064,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R2_001.fastq.gz","07-28-M8-1","LK16S004_019","Baseline","E3","7/28/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Mock","Tp1_Cage8","Tp1_None","Tp1_Mock","None_Mock","Tp1_None_Mock","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"14667","f36c161e4341ca7c0fd5d7615f736706","LK16S004-190",0.712328767123288,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_190_S194_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_190_S194_R2_001.fastq.gz","09-29-M8-2","LK16S004_190","Baseline","E3","9/29/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"8449","8632dac767a978f390c0739543c2a1a6","LK16S004-184",0.702666216672292,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_184_S188_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_184_S188_R2_001.fastq.gz","09-29-M6-3","LK16S004_184","Baseline","E3","9/29/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp6","Timepoint 6","6","8","None","Untouched","Tp6_Cage6","Tp6_None","Tp6_Untouched","None_Untouched","Tp6_None_Untouched","No","6 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"14619","f36c161e4341ca7c0fd5d7615f736706","LK16S004-231",0.67524115755627,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_231_S235_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_231_S235_R2_001.fastq.gz","10-13-M11-3","LK16S004_231","Baseline","E3","10/13/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp7","Timepoint 7","7","10","None","Infected","Tp7_Cage11","Tp7_None","Tp7_Infected","None_Infected","Tp7_None_Infected","No","8 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"12032","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-053",0.667796610169492,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_053_S53_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_053_S53_R2_001.fastq.gz","08-12-M6-2","LK16S004_053","Baseline","E3","8/12/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Untouched","Tp2_Cage6","Tp2_None","Tp2_Untouched","None_Untouched","Tp2_None_Untouched","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"14609","f36c161e4341ca7c0fd5d7615f736706","LK16S004-157",0.658516020236088,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_157_S161_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_157_S161_R2_001.fastq.gz","09-16-M7-3","LK16S004_157","Baseline","E3","9/16/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp5","Timepoint 5","5","6","None","Infected","Tp5_Cage7","Tp5_None","Tp5_Infected","None_Infected","Tp5_None_Infected","No","4 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",10100,"Low","CIN2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"14704","f36c161e4341ca7c0fd5d7615f736706","LK16S004-259",0.656131479140329,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_259_S263_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_259_S263_R2_001.fastq.gz","10-27-M11-3","LK16S004_259","Baseline","E3","10/27/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage11","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"14599","f36c161e4341ca7c0fd5d7615f736706","LK16S004-121",0.644707623982235,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_121_S125_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_121_S125_R2_001.fastq.gz","09-01-M7-2","LK16S004_121","Baseline","E3","9/1/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp4","Timepoint 4","4","4","None","Infected","Tp4_Cage7","Tp4_None","Tp4_Infected","None_Infected","Tp4_None_Infected","No","2 wks post-MmuPV1 infection","Infected","Infected","Infected","Infection Establishment (2wpi)",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"13000","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-117",0.636241685763792,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_117_S121_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_117_S121_R2_001.fastq.gz","09-01-M6-2","LK16S004_117","Baseline","E3","9/1/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp4","Timepoint 4","4","4","None","Untouched","Tp4_Cage6","Tp4_None","Tp4_Untouched","None_Untouched","Tp4_None_Untouched","No","2 wks post-MmuPV1 infection","Infected","Infected","Untouched","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
