sample_id	forward-absolute-filepath	reverse-absolute-filepath	Mouse-ID	LK16Sid	ExName	Ex	LavageDate	MP	SampleOrigin	Cage	ExCage	ExCageTp	Timepoint	TimeP	Timepoint.wks	AntibioticTx	Infected	Tp.Cage	Tp.ABX	Tp.Infect	ABX.Infect	Tp.ABX.Infect	NaturalMicro	InfectionStage	InfectStage2	InfectStageDepo	InfectStagePreUM	InfectStageDEM	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseCINEndpointRanked	Cleared.Persistent
LK16S004-029	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_029_S29_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_029_S29_R2_001.fastq.gz	07-28-M10-3	LK16S004_029	Baseline	E3	7/28/20	M10-3	Mouse	Cage10	E3_Cage10	E3_Cage10_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage10	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-030	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_030_S30_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_030_S30_R2_001.fastq.gz	07-28-M11-1	LK16S004_030	Baseline	E3	7/28/20	M11-1	Mouse	Cage11	E3_Cage11	E3_Cage11_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage11	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN3	High 	Persistent
LK16S004-031	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R2_001.fastq.gz	07-28-M11-2	LK16S004_031	Baseline	E3	7/28/20	M11-2	Mouse	Cage11	E3_Cage11	E3_Cage11_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage11	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-032	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R2_001.fastq.gz	07-28-M11-3	LK16S004_032	Baseline	E3	7/28/20	M11-3	Mouse	Cage11	E3_Cage11	E3_Cage11_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage11	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN2	Low	Persistent
LK16S004-033	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_033_S33_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_033_S33_R2_001.fastq.gz	07-28-C10	LK16S004_033	Baseline	E3	7/28/20	C10	Cage Wall	Cage3	E3_Cage3	E3_Cage3_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage3	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-034	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_034_S34_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_034_S34_R2_001.fastq.gz	07-28-C12	LK16S004_034	Baseline	E3	7/28/20	C12	Cage Wall	Cage4	E3_Cage4	E3_Cage4_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage4	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-035	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_035_S35_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_035_S35_R2_001.fastq.gz	07-28-C14	LK16S004_035	Baseline	E3	7/28/20	C14	Cage Wall	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-036	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_036_S36_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_036_S36_R2_001.fastq.gz	07-28-C16	LK16S004_036	Baseline	E3	7/28/20	C16	Cage Wall	Cage6	E3_Cage6	E3_Cage6_Tp1	Timepoint 1	1	0	None	Untouched	Tp1_Cage6	Tp1_None	Tp1_Untouched	None_Untouched	Tp1_None_Untouched	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-037	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_037_S37_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_037_S37_R2_001.fastq.gz	07-28-C18	LK16S004_037	Baseline	E3	7/28/20	C18	Cage Wall	Cage7	E3_Cage7	E3_Cage7_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage7	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-038	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_038_S38_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_038_S38_R2_001.fastq.gz	07-28-C20	LK16S004_038	Baseline	E3	7/28/20	C20	Cage Wall	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-039	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_039_S39_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_039_S39_R2_001.fastq.gz	07-28-C22	LK16S004_039	Baseline	E3	7/28/20	C22	Cage Wall	Cage9	E3_Cage9	E3_Cage9_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage9	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-040	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_040_S40_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_040_S40_R2_001.fastq.gz	07-28-C24	LK16S004_040	Baseline	E3	7/28/20	C24	Cage Wall	Cage10	E3_Cage10	E3_Cage10_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage10	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-041	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_041_S41_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_041_S41_R2_001.fastq.gz	08-12-M3-1	LK16S004_041	Baseline	E3	8/12/20	M3-1	Mouse	Cage3	E3_Cage3	E3_Cage3_Tp2	Timepoint 2	2	2	ABX	Mock	Tp2_Cage3	Tp2_ABX	Tp2_Mock	ABX_Mock	Tp2_ABX_Mock	No	"2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)"	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-042	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_042_S42_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_042_S42_R2_001.fastq.gz	08-12-M3-2	LK16S004_042	Baseline	E3	8/12/20	M3-2	Mouse	Cage3	E3_Cage3	E3_Cage3_Tp2	Timepoint 2	2	2	ABX	Mock	Tp2_Cage3	Tp2_ABX	Tp2_Mock	ABX_Mock	Tp2_ABX_Mock	No	"2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)"	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
