sample-id	forward-absolute-filepath	reverse-absolute-filepath	Mouse-ID	LK16Sid	ExName	Ex	LavageDate	MP	SampleOrigin	Cage	ExCage	ExCageTp	Timepoint	TimeP	Timepoint.wks	AntibioticTx	Tp.Cage	Tp.ABX	NaturalMicro	Infected	InfectStage2	InfectStageDepo	InfectStageDEM	InfectStage	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseEndpointRanked	Cleared/PersistentAtEndpoint
LKMB005_024	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_024_S24_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_024_S24_R2_001.fastq.gz	08-04--MP1-1	LKMB005_024	Pilot	E2	4-Aug	MP1-1	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage1	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared
LKMB005_025	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_025_S25_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_025_S25_R2_001.fastq.gz	08-04--MP1-2	LKMB005_025	Pilot	E2	4-Aug	MP1-2	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage1	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared
LKMB005_026	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_026_S26_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_026_S26_R2_001.fastq.gz	08-04--MP1-3	LKMB005_026	Pilot	E2	4-Aug	MP1-3	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage1	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Close to cleared
LKMB005_027	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_027_S27_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_027_S27_R2_001.fastq.gz	08-04--MP1-4	LKMB005_027	Pilot	E2	4-Aug	MP1-4	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage1	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Close to cleared
LKMB005_028	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_028_S28_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_028_S28_R2_001.fastq.gz	08-04--MP2-1	LKMB005_028	Pilot	E2	4-Aug	MP2-1	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage2	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared 
LKMB005_029	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_029_S29_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_029_S29_R2_001.fastq.gz	08-04--MP2-2	LKMB005_029	Pilot	E2	4-Aug	MP2-2	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage2	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_030	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_030_S30_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_030_S30_R2_001.fastq.gz	08-04--MP2-3	LKMB005_030	Pilot	E2	4-Aug	MP2-3	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage2	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_031	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_031_S31_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_031_S31_R2_001.fastq.gz	08-04--MP2-4	LKMB005_031	Pilot	E2	4-Aug	MP2-4	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage2	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_032	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_032_S32_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_032_S32_R2_001.fastq.gz	08-04--MP3-1	LKMB005_032	Pilot	E2	4-Aug	MP3-1	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage3	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_033	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_033_S33_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_033_S33_R2_001.fastq.gz	08-04--MP3-2	LKMB005_033	Pilot	E2	4-Aug	MP3-2	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage3	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_034	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_034_S34_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_034_S34_R2_001.fastq.gz	08-04--MP3-3	LKMB005_034	Pilot	E2	4-Aug	MP3-3	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp2	Timepoint 2	2	2	ABX	Tp2_Cage3	Tp2_ABX	No	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_035	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_035_S35_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_035_S35_R2_001.fastq.gz	08-04--MP4-1	LKMB005_035	Pilot	E2	4-Aug	MP4-1	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp2	Timepoint 2	2	2	None	Tp2_Cage4	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_036	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R2_001.fastq.gz	08-04--MP4-2	LKMB005_036	Pilot	E2	4-Aug	MP4-2	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp2	Timepoint 2	2	2	None	Tp2_Cage4	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_037	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R2_001.fastq.gz	08-04--MP4-3	LKMB005_037	Pilot	E2	4-Aug	MP4-3	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp2	Timepoint 2	2	2	None	Tp2_Cage4	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_038	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R2_001.fastq.gz	08-04--MP5-1	LKMB005_038	Pilot	E2	4-Aug	MP5-1	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp2	Timepoint 2	2	2	None	Tp2_Cage5	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_039	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R2_001.fastq.gz	08-04--MP5-2	LKMB005_039	Pilot	E2	4-Aug	MP5-2	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp2	Timepoint 2	2	2	None	Tp2_Cage5	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	No Tissue	Unknown
LKMB005_040	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz	08-04--MP5-3	LKMB005_040	Pilot	E2	4-Aug	MP5-3	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp2	Timepoint 2	2	2	None	Tp2_Cage5	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Cancer	Persistent
LKMB005_041	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R2_001.fastq.gz	08-04--MP5-4	LKMB005_041	Pilot	E2	4-Aug	MP5-4	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp2	Timepoint 2	2	2	None	Tp2_Cage5	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_042	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_042_S42_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_042_S42_R2_001.fastq.gz	08-04--MP6-1	LKMB005_042	Pilot	E2	4-Aug	MP6-1	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp2	Timepoint 2	2	2	None	Tp2_Cage6	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
