"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","LCM","Date","Treatment","LCMSample","Mouse","MouseNO","MouseSampleNumber","LCM.Spots","Epi.Stroma","DNA.RNA","Infected","E2","Disease","Disease2","Estrus.Stage","Location","DisTx","TxEs","Viral.Copy.Number..per.5ng.total.DNA.","Mouse.ID","ViralCopyNumberHighLow","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"1019","43870bfb33d01a3be9af27097ce23ee0","LK16S004-330",0.563132492604702,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R2_001.fastq.gz","LCM24","8/11/21","Mock + 6m E2","MES-43-40_68_2E","M.40",40,2,26,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Diestrus","N/A","43-40","","Mock+E2","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium"
"2568","c752ea1974df441eb9d13dc8a17cc986","LK16S004-348",0.558008658008658,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-348_S247_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-348_S247_R2_001.fastq.gz","LCM42","8/13/21","MmuPV1 + 6m E2","MES-43-22_33_1E","M.22",22,1,122,"Epi","DNA","MmuPV","E2","Low CIN (CIN2)","Low CIN","Diestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Diestrus","1.13E+07","43-22","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria"
"2941","f36c161e4341ca7c0fd5d7615f736706","LK16S004-320",0.552649930264993,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-320_S219_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-320_S219_R2_001.fastq.gz","LCM14","8/10/21","MmuPV1 only","MES-43-6_38_1E","M.06",6,1,82,"Epi","DNA","MmuPV","none","High CIN (CIN2-3)","High CIN","Diestrus/Proestrus","Cervicovaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Diestrus/Proestrus","9.00E+05","43-6","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1297","512699b99a04e60a592db5b38aaa91d6","LK16S004-345",0.536408646298756,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-345_S244_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-345_S244_R2_001.fastq.gz","LCM39","8/12/21","MmuPV1 + 6m E2","MES-43-19_68_2E","M.19",19,2,102,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Diestrus","Ectocervix","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Diestrus","9.12E+06","43-19","High","Persistent","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"2938","f36c161e4341ca7c0fd5d7615f736706","LK16S004-319",0.519871915614993,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-319_S218_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-319_S218_R2_001.fastq.gz","LCM13","8/10/21","MmuPV1 only","MES-43-5_18_1E","M.05",5,1,60,"Epi","DNA","MmuPV","none","High CIN (CIN2-3)","High CIN","Proestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Proestrus","9.62E+05","43-5","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"94","0a36b4a346765441a0c61eafc49f02ab","LK16S004-322",0.517958412098299,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-322_S221_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-322_S221_R2_001.fastq.gz","LCM16","8/10/21","MmuPV1 only","MES-43-10_18_1E","M.10",10,1,42,"Epi","DNA","MmuPV","none","High CIN (CIN2-3)","High CIN","Diestrus","Cervicovaginal Fornix","MmuPV1 only -High CIN","MmuPV1 only -Diestrus","7.58E+05","43-10","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"2936","f36c161e4341ca7c0fd5d7615f736706","LK16S004-321",0.508571428571429,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-321_S220_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-321_S220_R2_001.fastq.gz","LCM15","8/10/21","MmuPV1 only","MES-43-8_33_1E","M.08",8,1,37,"Epi","DNA","MmuPV","none","Low CIN (lower end CIN2-3)","Low CIN","Diestrus","Cervicovaginal Fornix","MmuPV1 only -Low CIN","MmuPV1 only -Diestrus","1.34E+06","43-8","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2935","f36c161e4341ca7c0fd5d7615f736706","LK16S004-309",0.485836451095671,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-309_S208_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-309_S208_R2_001.fastq.gz","LCM03","8/9/21","Mock","MES-43-28_48_1E","M.28",28,1,8,"Epi","DNA","Mock","none","No disease","No disease","Diestrus","Ectocervix","Mock -No disease","Mock -Diestrus","1.54E+01","43-28","Mock","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2913","f36c161e4341ca7c0fd5d7615f736706","LK16S004-350",0.478629742276293,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-350_S249_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-350_S249_R2_001.fastq.gz","LCM44","8/13/21","MmuPV1 + 6m E2","MES-43-25_13_1E","M.25",25,1,124,"Epi","DNA","MmuPV","E2","SCC (at least CIN 3)","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","7.59E+05","43-25","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2904","f36c161e4341ca7c0fd5d7615f736706","LK16S004-329",0.455972696245734,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-329_S228_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-329_S228_R2_001.fastq.gz","LCM23","8/11/21","Mock + 6m E2","MES-43-40_68_1E","M.40",40,1,16,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Diestrus","N/A","43-40","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2908","f36c161e4341ca7c0fd5d7615f736706","LK16S004-334",0.443045563549161,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-334_S233_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-334_S233_R2_001.fastq.gz","LCM28","8/11/21","Mock + 6m E2","MES-43-43_68_2E","M.43",43,2,17,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","N/A","43-43","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2923","f36c161e4341ca7c0fd5d7615f736706","LK16S004-347",0.440557367328787,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-347_S246_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-347_S246_R2_001.fastq.gz","LCM41","8/13/21","MmuPV1 + 6m E2","MES-43-21_02_2E","M.21",21,2,149,"Epi","DNA","MmuPV","E2","SCC","SCC","Diestrus","Cervicovaginal Fornix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","8.09E+06","43-21","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2999","fb6f595e2fac8ea216d97877a9f6f93e","LK16S004-332",0.440392277045664,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-332_S231_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-332_S231_R2_001.fastq.gz","LCM26","8/11/21","Mock + 6m E2","MES-43-42_68_2E","M.42",42,2,19,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","N/A","43-42","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"2940","f36c161e4341ca7c0fd5d7615f736706","LK16S004-318",0.436436647997464,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R2_001.fastq.gz","LCM12","8/10/21","MmuPV1 only","MES-43-3_43_1E","M.03",3,1,99,"Epi","DNA","MmuPV","none","High CIN (at least CIN3)","High CIN","Diestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Diestrus","4.92E+05","43-3","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2944","f36c161e4341ca7c0fd5d7615f736706","LK16S004-326",0.433192686357243,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-326_S225_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-326_S225_R2_001.fastq.gz","LCM20","8/11/21","Mock + 6m E2","MES-43-38_63_2E","M.38",38,2,16,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","1.90E+01","43-38","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2909","f36c161e4341ca7c0fd5d7615f736706","LK16S004-335",0.429411764705882,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R2_001.fastq.gz","LCM29","8/11/21","Mock + 6m E2","MES-43-44_58_1E","M.44",44,1,15,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2899","f36c161e4341ca7c0fd5d7615f736706","LK16S004-346",0.396021699819168,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R2_001.fastq.gz","LCM40","8/13/21","MmuPV1 + 6m E2","MES-43-21_02_1E","M.21",21,1,350,"Epi","DNA","MmuPV","E2","SCC","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","8.09E+06","43-21","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2932","f36c161e4341ca7c0fd5d7615f736706","LK16S004-316",0.380281690140845,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-316_S215_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-316_S215_R2_001.fastq.gz","LCM10","8/10/21","MmuPV1 only","MES-43-1_68_2E","M.01",1,2,18,"Epi","DNA","MmuPV","none","Low CIN","Low CIN","Proestrus","Vaginal wall","MmuPV1 only -Low CIN","MmuPV1 only -Proestrus","7.09E+05","43-1","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2943","f36c161e4341ca7c0fd5d7615f736706","LK16S004-323",0.374777183600713,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-323_S222_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-323_S222_R2_001.fastq.gz","LCM17","8/11/21","Mock + 6m E2","MES-43-37_58_1E","M.37",37,1,12,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","1.30E+01","43-37","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2928","f36c161e4341ca7c0fd5d7615f736706","LK16S004-325",0.336239103362391,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-325_S224_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-325_S224_R2_001.fastq.gz","LCM19","8/11/21","Mock + 6m E2","MES-43-38_63_1E","M.38",38,1,12,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","1.90E+01","43-38","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2916","f36c161e4341ca7c0fd5d7615f736706","LK16S004-340",0.326594090202177,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-340_S239_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-340_S239_R2_001.fastq.gz","LCM34","8/12/21","MmuPV1 + 6m E2","MES-43-16_38_3E","M.16",16,3,152,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Diestrus/Proestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Diestrus/Proestrus","6.16E+06","43-16","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"115","0a36b4a346765441a0c61eafc49f02ab","LK16S004-307",0.311940298507463,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-307_S206_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-307_S206_R2_001.fastq.gz","LCM01","8/9/21","Mock","MES-43-27_38_1E","M.27",27,1,12,"Epi","DNA","Mock","none","No disease","No disease","Proestrus","Ectocervix","Mock -No disease","Mock -Proestrus","1.92E+01","43-27","Mock","Mock","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"673","22be59c1b0f18950debfd54a8d1eb9ec","LK16S004-310",0.310991957104558,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-310_S209_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-310_S209_R2_001.fastq.gz","LCM04","8/9/21","Mock","MES-43-33_13_1E","M.33",33,1,12,"Epi","DNA","Mock","none","No disease","No disease","Diestrus","Ectocervix","Mock -No disease","Mock -Diestrus","N/A","43-33","","Mock","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
