sample-id	forward-absolute-filepath	reverse-absolute-filepath	SampleNO	Ex	ShortID	FullID	MouseID	Cage	Group	Infected	ABX	Timepoint	Tp.Inf.ABX.Group	LevageDate 	PostInfection(wk)	InfectStageML	PostABx(wk)	Notes 	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseEndpointRanked	Cleared.PersistentAtEndpoint
LK16S009-246	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-246_S58_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-246_S58_L001_R2_001.fastq.gz	31	E4	MV-31	T2-M-25.1-B	M-25.1-B	Cage 25	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		5.64E+04	High	CIN3	High	Persistent
LK16S009-247	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-247_S59_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-247_S59_L001_R2_001.fastq.gz	32	E4	MV-32	T2-M-25.2-B	M-25.2-B	Cage 25	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		8.13E+02	Low	CIN3	High	Persistent
LK16S009-248	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-248_S60_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-248_S60_L001_R2_001.fastq.gz	33	E4	MV-33	T2-M-25.3-B	M-25.3-B	Cage 25	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		1.18E+05	High	CIN3	High	Persistent
LK16S009-249	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-249_S61_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-249_S61_L001_R2_001.fastq.gz	34	E4	MV-34	T2-M-25.4-B	M-25.4-B	Cage 25	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		2.71E+03	Low			
LK16S009-250	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-250_S62_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-250_S62_L001_R2_001.fastq.gz	35	E4	MV-35	T2-M-26.1-B	M-26.1-B	Cage 26	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		3.88E+05	High	CIN3	High	Persistent
LK16S009-251	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-251_S63_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-251_S63_L001_R2_001.fastq.gz	36	E4	MV-36	T2-M-26.2-B	M-26.2-B	Cage 26	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		7.72E+10	High	At least CIN3	High	Persistent
LK16S009-252	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-252_S64_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-252_S64_L001_R2_001.fastq.gz	37	E4	MV-37	T2-M-26.3-B	M-26.3-B	Cage 26	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		2.34E+05	High	CIN3	High	Persistent
LK16S009-253	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-253_S65_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-253_S65_L001_R2_001.fastq.gz	38	E4	MV-38	T2-M-26.4-B	M-26.4-B	Cage 26	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		8.76E+02	Low	CIN3	High	Persistent
LK16S009-254	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-254_S66_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-254_S66_L001_R2_001.fastq.gz	39	E4	MV-39	T2-M-28.1-B	M-28.1-B	Cage 28	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		1.16E+06	High	CIN3	High	Persistent
LK16S009-255	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-255_S67_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-255_S67_L001_R2_001.fastq.gz	40	E4	MV-40	T2-M-28.2-B	M-28.2-B	Cage 28	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		2.86E+04	High	CIN3	High	Persistent
LK16S009-256	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-256_S68_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-256_S68_L001_R2_001.fastq.gz	41	E4	MV-41	T2-M-28.3-B	M-28.3-B	Cage 28	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		1.08E+05	High	At least CIN3	High	Persistent
LK16S009-257	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-257_S69_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-257_S69_L001_R2_001.fastq.gz	42	E4	MV-42	T2-M-28.4-B	M-28.4-B	Cage 28	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2				CIN3	High	Persistent
LK16S009-258	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-258_S70_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-258_S70_L001_R2_001.fastq.gz	43	E4	MV-43	T2-M-29.1-B	M-29.1-B	Cage 29	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		1.72E+03	Low	CIN3	High	Persistent
LK16S009-259	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-259_S71_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-259_S71_L001_R2_001.fastq.gz	44	E4	MV-44	T2-M-29.2-B	M-29.2-B	Cage 29	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		2.08E+02	Low	Normal/Hyperplasia	None	""""
LK16S009-260	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-260_S72_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-260_S72_L001_R2_001.fastq.gz	45	E4	MV-45	T2-M-29.3-B	M-29.3-B	Cage 29	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		4.68E+04	High	CIN3	High	Cleared
LK16S009-261	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-261_S73_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-261_S73_L001_R2_001.fastq.gz	46	E4	MV-46	T2-M-30.1-B	M-30.1-B	Cage 30	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		1.74E+04	Low	At least CIN3	High	Persistent
LK16S009-262	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R2_001.fastq.gz	47	E4	MV-47	T2-M-30.2-B	M-30.2-B	Cage 30	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		6.75E+04	High	CIN3	High	Persistent
LK16S009-263	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R2_001.fastq.gz	48	E4	MV-48	T2-M-30.3-B	M-30.3-B	Cage 30	Infected None	Infected	None	2	T2 Infected None	1.25.21	7	Early Infection 5 & 7 wpi	2		2.68E+05	High	At least CIN3	High	Persistent
LK16S009-264	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-264_S76_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-264_S76_L001_R2_001.fastq.gz	49	E4	MV-49	T2-M-31.1-B	M-31.1-B	Cage 31	Infected ABX	Infected	ABX	2	T2 Infected ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		5.67E+05	High	At least CIN3	High	Persistent
