"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","SampleNO","Ex","ShortID","FullID","MouseID","Cage","Group","Infected","ABX","Timepoint","Tp.Inf.ABX.Group","LevageDate","PostInfection.wk.","InfectStageML","PostABx.wk.","Notes","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"6104","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-320",0.706223587568419,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-320_S132_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-320_S132_L001_R2_001.fastq.gz",106,"E4","MV-106","T5-M-24.A.2-B","M-24.A.2-B","Cage 24A","Mock None","Mock","None","5","T5 Mock None","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"6111","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-288",0.702717660423524,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-288_S100_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-288_S100_L001_R2_001.fastq.gz",73,"E4","MV-73","T3-M-30.2-B","M-30.2-B","Cage 30","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",133000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"5661","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-256",0.688139059304703,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-256_S68_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-256_S68_L001_R2_001.fastq.gz",41,"E4","MV-41","T2-M-28.3-B","M-28.3-B","Cage 28","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",108000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"6034","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-319",0.649673752323073,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-319_S131_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-319_S131_L001_R2_001.fastq.gz",105,"E4","MV-105","T5-M-24.A.1-B","M-24.A.1-B","Cage 24A","Mock None","Mock","None","5","T5 Mock None","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"7676","cd6018ff4b88a82f603282e835f496ef","LK16S009-308",0.649214659685864,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-308_S120_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-308_S120_L001_R2_001.fastq.gz",94,"E4","MV-94","T4-M-28.4-B","M-28.4-B","Cage 28","Infected None","Infected","None","4","T4 Infected None","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","CIN3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"6058","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-362",0.640621285363341,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-362_S174_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-362_S174_L001_R2_001.fastq.gz",150,"E4","MV-150","T6-M-30.1-B","M-30.1-B","Cage 30","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",395000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"6144","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-358",0.628532081377152,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-358_S170_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-358_S170_L001_R2_001.fastq.gz",146,"E4","MV-146","T6-M-28.4-B","M-28.4-B","Cage 28","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",2150000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1959","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-270",0.587473002159827,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-270_S82_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-270_S82_L001_R2_001.fastq.gz",55,"E4","MV-55","T3-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","3","T3 Mock ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",4600,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3020","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-364",0.583600256245996,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-364_S176_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-364_S176_L001_R2_001.fastq.gz",152,"E4","MV-152","T6-M-30.3-B","M-30.3-B","Cage 30","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",213000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"3040","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-344",0.5801841854557,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-344_S156_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-344_S156_L001_R2_001.fastq.gz",131,"E4","MV-131","T6-M-24.A.1-B","M-24.A.1-B","Cage 24A","Mock None","Mock","None","6","T6 Mock None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",862,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2946","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-273",0.578005115089514,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-273_S85_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-273_S85_L001_R2_001.fastq.gz",58,"E4","MV-58","T3-M-25.2-B","M-25.2-B","Cage 25","Infected ABX","Infected","ABX","3","T3 Infected ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",1240,"Low","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"6147","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-365",0.568134171907757,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-365_S177_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-365_S177_L001_R2_001.fastq.gz",153,"E4","MV-153","T6-M-31.1-B","M-31.1-B","Cage 31","Infected ABX","Infected","ABX","6","T6 Infected ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",420000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"5690","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-357",0.556533521856958,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-357_S169_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-357_S169_L001_R2_001.fastq.gz",145,"E4","MV-145","T6-M-28.3-B","M-28.3-B","Cage 28","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",545000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1974","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-326",0.555133079847909,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-326_S138_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-326_S138_L001_R2_001.fastq.gz",113,"E4","MV-113","T5-M-26.1-B","M-26.1-B","Cage 26","Infected ABX","Infected","ABX","5","T5 Infected ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3007","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-302",0.545454545454545,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-302_S114_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-302_S114_L001_R2_001.fastq.gz",88,"E4","MV-88","T4-M-26.2-B","M-26.2-B","Cage 26","Infected ABX","Infected","ABX","4","T4 Infected ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2032","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-263",0.540229885057471,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R2_001.fastq.gz",48,"E4","MV-48","T2-M-30.3-B","M-30.3-B","Cage 30","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",268000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1629","2e851e956e6efc6849ac305ae18ef4bb","LK16S009-269",0.531232615433521,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-269_S81_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-269_S81_L001_R2_001.fastq.gz",54,"E4","MV-54","T3-M-24.A.2-B","M-24.A.2-B","Cage 24A","Mock None","Mock","None","3","T3 Mock None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",568,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"1939","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-221",0.525179856115108,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-221_S33_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-221_S33_L001_R2_001.fastq.gz",6,"E4","MV-6","T1-M-25.2-B","M-25.2-B","Cage 25","Infected ABX","Infected","ABX","1","T1 Infected ABX","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",6700,"Low","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2954","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-321",0.520422535211268,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-321_S133_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-321_S133_L001_R2_001.fastq.gz",107,"E4","MV-107","T5-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","5","T5 Mock ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"3056","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-300",0.519471239728474,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-300_S112_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-300_S112_L001_R2_001.fastq.gz",85,"E4","MV-85","T4-M-25.3-B","M-25.3-B","Cage 25","Infected ABX","Infected","ABX","4","T4 Infected ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"6459","ba74bc2d9784d7cceb6e4d8ff377ecae","LK16S009-226",0.511854103343465,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-226_S38_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-226_S38_L001_R2_001.fastq.gz",11,"E4","MV-11","T1-M-26.3-B","M-26.3-B","Cage 26","Infected ABX","Infected","ABX","1","T1 Infected ABX","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",317000,"High","CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"5726","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-259",0.510238907849829,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-259_S71_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-259_S71_L001_R2_001.fastq.gz",44,"E4","MV-44","T2-M-29.2-B","M-29.2-B","Cage 29","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",208,"Low","Normal/Hyperplasia","None","""""""""","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2055","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-360",0.506457564575646,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-360_S172_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-360_S172_L001_R2_001.fastq.gz",148,"E4","MV-148","T6-M-29.2-B","M-29.2-B","Cage 29","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",2790000,"High","Normal/Hyperplasia","None","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"6096","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-366",0.490928495197439,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-366_S178_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-366_S178_L001_R2_001.fastq.gz",154,"E4","MV-154","T6-M-31.2-B","M-31.2-B","Cage 31","Infected ABX","Infected","ABX","6","T6 Infected ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",2860000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"2988","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-323",0.490170840159139,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-323_S135_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-323_S135_L001_R2_001.fastq.gz",109,"E4","MV-109","T5-M-25.1-B","M-25.1-B","Cage 25","Infected ABX","Infected","ABX","5","T5 Infected ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"3031","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-278",0.482547770700637,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-278_S90_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-278_S90_L001_R2_001.fastq.gz",63,"E4","MV-63","T3-M-26.3-B","M-26.3-B","Cage 26","Infected ABX","Infected","ABX","3","T3 Infected ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",114000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"3000","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-266",0.470914127423823,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-266_S78_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-266_S78_L001_R2_001.fastq.gz",51,"E4","MV-51","T2-M-31.3-B","M-31.3-B","Cage 31","Infected ABX","Infected","ABX","2","T2 Infected ABX","1.25.21","7","Early Infection 5 & 7 wpi","2","",47400,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
