sample-id	forward-absolute-filepath	reverse-absolute-filepath	Ex	ExName	ShortID	MouseID	Timepoint	Time	ViralCopyNumber	ViralCopyNumberRanked	ViralInfectGroup	CTL	Tp.InfectDose	Cleared.Persist.Endpoint	DiseaseCINEndpoint.Full	DiseaseCINEndpoint
LK16S009-381	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-09	51.2	T1	2 months Post Infection	2.68E+01	Low	10^6	CTL	T1_10^6	Cleared	CIN1	CIN1
LK16S009-382	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-10	51.3	T1	2 months Post Infection	5.23E+05	High	10^6	CTL	T1_10^6	Persistent	CIN3	CIN3
LK16S009-383	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-383_S195_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-383_S195_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-11	51.4	T1	2 months Post Infection	1.36E+05	High	10^6	CTL	T1_10^6	Persistent	SCC	SCC
LK16S009-384	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-12	51.5	T1	2 months Post Infection	1.32E+04	Low	10^6	CTL	T1_10^6	Persistent	CIN3	CIN3
LK16S009-385	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-385_S197_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-385_S197_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-13	52.1	T1	2 months Post Infection	2.76E+04	High	10^8	CTL	T1_10^8	Persistent	CIN3	CIN3
LK16S009-386	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-386_S198_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-386_S198_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-14	52.2	T1	2 months Post Infection	4.68E+04	High	10^8	CTL	T1_10^8	Persistent	CIN3	CIN3
LK16S009-387	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-15	52.3	T1	2 months Post Infection	6.09E+02	Low	10^8	CTL	T1_10^8	Persistent	CIN2/3	CIN2
LK16S009-388	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-388_S200_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-388_S200_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-16	52.4	T1	2 months Post Infection	1.60E+05	High	10^8	CTL	T1_10^8	Persistent	CIN2/3	CIN2
LK16S009-389	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-17	52.5	T1	2 months Post Infection	2.19E+04	High	10^8	CTL	T1_10^8	Persistent	CIN3	CIN3
LK16S009-390	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-390_S202_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-390_S202_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-18	49.1	T2	5 months Post Infection	3.79E+03	Low	Mock	CTL	T2_Mock 	Mock	CIN1	CIN1
LK16S009-391	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-391_S203_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-391_S203_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-19	49.2	T2	5 months Post Infection	4.70E+02	Low	Mock	CTL	T2_Mock 	Mock	Normal	Normal
LK16S009-392	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-392_S204_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-392_S204_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-20	50.1	T2	5 months Post Infection	6.35E+01	Low	10^4	CTL	T2_10^4	Cleared	Normal	Normal
LK16S009-393	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-393_S205_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-393_S205_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-21	50.2	T2	5 months Post Infection	7.84E+01	Low	10^4	CTL	T2_10^4	Cleared	CIN1	CIN1
LK16S009-394	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-394_S206_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-394_S206_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-22	50.3	T2	5 months Post Infection	8.54E+02	Low	10^4	CTL	T2_10^4	Cleared	CIN1	CIN1
LK16S009-395	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-395_S207_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-395_S207_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-23	50.4	T2	5 months Post Infection	4.49E+02	Low	10^4	CTL	T2_10^4	Cleared	Normal/CIN1	CIN1
LK16S009-396	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-24	50.5	T2	5 months Post Infection	8.64E+01	Low	10^4	CTL	T2_10^4	Cleared	CIN1/2	CIN2
LK16S009-397	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-397_S209_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-397_S209_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-25	51.1	T2	5 months Post Infection	9.45E+01	Low	10^6	CTL	T2_10^6	Cleared	CIN1	CIN1
LK16S009-398	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-398_S210_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-398_S210_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-26	51.2	T2	5 months Post Infection	8.11E+02	Low	10^6	CTL	T2_10^6	Cleared	CIN1	CIN1
LK16S009-399	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-27	51.3	T2	5 months Post Infection	6.38E+05	High	10^6	CTL	T2_10^6	Persistent	CIN3	CIN3
LK16S009-400	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-400_S212_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-400_S212_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-28	51.4	T2	5 months Post Infection	2.50E+06	High	10^6	CTL	T2_10^6	Persistent	SCC	SCC
LK16S009-401	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-401_S213_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-401_S213_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-29	51.5	T2	5 months Post Infection	8.57E+04	High	10^6	CTL	T2_10^6	Persistent	CIN3	CIN3
LK16S009-402	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-402_S214_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-402_S214_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-30	52.1	T2	5 months Post Infection	3.39E+05	High	10^8	CTL	T2_10^8	Persistent	CIN3	CIN3
LK16S009-403	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-403_S215_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-403_S215_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-31	52.2	T2	5 months Post Infection	1.74E+05	High	10^8	CTL	T2_10^8	Persistent	CIN3	CIN3
LK16S009-404	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-404_S216_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-404_S216_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-32	52.3	T2	5 months Post Infection	1.10E+04	High	10^8	CTL	T2_10^8	Persistent	CIN2/3	CIN2
LK16S009-405	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-405_S217_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-405_S217_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-33	52.4	T2	5 months Post Infection	4.32E+04	High	10^8	CTL	T2_10^8	Persistent	CIN2/3	CIN2
LK16S009-406	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-34	52.5	T2	5 months Post Infection	2.17E+05	High	10^8	CTL	T2_10^8	Persistent	CIN3	CIN3
