"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Ex","ExName","ShortID","MouseID","Timepoint","Time","ViralCopyNumber","ViralCopyNumberRanked","ViralInfectGroup","CTL","Tp.InfectDose","Cleared.Persist.Endpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"1192","a4c08d2783d9e9e3a54020e325fe5bd8","LK16S009-375",0.376237623762376,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-03","50.1","T1","2 months Post Infection",289,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"685","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-376",0.367713004484305,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-376_S188_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-376_S188_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-04","50.2","T1","2 months Post Infection",31.2,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"618","4f7674b8e5da44ec70c8bfedde1aebc1","LK16S009-387",0.363434492968172,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-15","52.3","T1","2 months Post Infection",609,"Low","10^8","CTL","T1_10^8","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"1218","a4c08d2783d9e9e3a54020e325fe5bd8","LK16S009-400",0.34168035030104,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-400_S212_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-400_S212_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-28","51.4","T2","5 months Post Infection",2500000,"High","10^6","CTL","T2_10^6","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"707","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-389",0.324324324324324,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-17","52.5","T1","2 months Post Infection",21900,"High","10^8","CTL","T1_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1239","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-389",0.315315315315315,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-17","52.5","T1","2 months Post Infection",21900,"High","10^8","CTL","T1_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1233","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-374",0.314432989690722,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-02","49.2","T1","2 months Post Infection",45.3,"Mock","Mock","CTL","T1_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"525","45046ad4689a02bd4ef603f649764f1b","LK16S009-401",0.312199036918138,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-401_S213_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-401_S213_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-29","51.5","T2","5 months Post Infection",85700,"High","10^6","CTL","T2_10^6","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"693","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-396",0.309133489461358,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-24","50.5","T2","5 months Post Infection",86.4,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"433","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-395",0.294755877034358,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-395_S207_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-395_S207_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-23","50.4","T2","5 months Post Infection",449,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"750","58f641ee47107319380adc34424af6ac","LK16S009-375",0.280528052805281,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-03","50.1","T1","2 months Post Infection",289,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium"
"1511","dbbc63b3f43b8a88686db2cea99f071e","LK16S009-384",0.277153558052434,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-12","51.5","T1","2 months Post Infection",13200,"Low","10^6","CTL","T1_10^6","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"1154","9b027110db6fc91cb7912638b0708e25","LK16S009-387",0.267949666913397,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-387_S199_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-15","52.3","T1","2 months Post Infection",609,"Low","10^8","CTL","T1_10^8","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"437","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-393",0.259950248756219,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-393_S205_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-393_S205_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-21","50.2","T2","5 months Post Infection",78.4,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1628","fbcddbc6c86de56f63c65f9f817dc8ff","LK16S009-383",0.254954954954955,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-383_S195_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-383_S195_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-11","51.4","T1","2 months Post Infection",136000,"High","10^6","CTL","T1_10^6","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"416","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-375",0.254125412541254,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-03","50.1","T1","2 months Post Infection",289,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1514","dbbc63b3f43b8a88686db2cea99f071e","LK16S009-406",0.252732240437158,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-34","52.5","T2","5 months Post Infection",217000,"High","10^8","CTL","T2_10^8","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"436","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-394",0.247137404580153,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-394_S206_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-394_S206_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-22","50.3","T2","5 months Post Infection",854,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"708","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-378",0.242205323193916,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-378_S190_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-378_S190_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-06","50.4","T1","2 months Post Infection",52.5,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"432","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-406",0.241803278688525,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-406_S218_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-34","52.5","T2","5 months Post Infection",217000,"High","10^8","CTL","T2_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1208","a4c08d2783d9e9e3a54020e325fe5bd8","LK16S009-399",0.233727810650888,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-27","51.3","T2","5 months Post Infection",638000,"High","10^6","CTL","T2_10^6","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"682","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-391",0.221394719025051,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-391_S203_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-391_S203_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-19","49.2","T2","5 months Post Infection",470,"Low","Mock","CTL","T2_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1197","a4c08d2783d9e9e3a54020e325fe5bd8","LK16S009-385",0.220017873100983,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-385_S197_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-385_S197_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-13","52.1","T1","2 months Post Infection",27600,"High","10^8","CTL","T1_10^8","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"413","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-389",0.210810810810811,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-389_S201_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-17","52.5","T1","2 months Post Infection",21900,"High","10^8","CTL","T1_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"539","45046ad4689a02bd4ef603f649764f1b","LK16S009-399",0.204881656804734,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-399_S211_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-27","51.3","T2","5 months Post Infection",638000,"High","10^6","CTL","T2_10^6","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"689","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-374",0.201030927835052,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-02","49.2","T1","2 months Post Infection",45.3,"Mock","Mock","CTL","T1_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"712","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-379",0.200916882599163,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-379_S191_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-379_S191_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-07","50.5","T1","2 months Post Infection",591,"Low","10^4","CTL","T1_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
